N;Nome da Variável;Descrição da Variável;Tipo;Tam.(1);Categoria;"Coleta por ano (""s""=sim;""n""=não ) ";;;;;;;;;;;;;;;;;;;Notas Importantes
25;TP_PODER_PUBLICO_PARCERIA;Poder público responsável pela parceria ou convênio entre a Administração Pública e outras instituições;Num;1;"1 - Municipal
2 - Estadual
3 - Estadual e Municipal
   - Não aplicável  para escolas sem parceria ou convênio com o poder público";s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;"Entre 2007 e 2021:
A variável TP_CONVENIO_PODER_PUBLICO foi renomeada para: TP_PODER_PUBLICO_PARCERIA "
26;QT_MAT_BAS;"Número de Matrículas da Educação Básica
";Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;Não inclui matrículas em turmas exclusivas de atividade complementar e nem em turmas exclusivas de Atendimento Educacional Especializado. Em síntese, a Educação Básica compreende matrículas nas seguintes etapas e modalidades de ensino: Educação Infantil, Ensino Fundamental, Ensino Médio, Curso Técnico Concomitante, Curso Técnico Subsequente, Itinerário Formativo Técnico Profissional Exclusivo - Curso Técnico (não articulado ao ensino médio regular), Curso FIC Concomitante, Itinerário Formativo Técnico Profissional Exclusivo - Qualificação Profissional (não articulado ao ensino médio regular) e Educação de Jovens e Adultos (EJA).
27;QT_MAT_INF;Número de Matrículas da Educação Infantil;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
28;QT_MAT_INF_CRE;Número de Matrículas da Educação Infantil - Creche;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
29;QT_MAT_INF_PRE;Número de Matrículas da Educação Infantil - Pré-Escola;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
30;QT_MAT_FUND;Número de Matrículas do Ensino Fundamental;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
31;QT_MAT_FUND_AI;Número de Matrículas do Ensino Fundamental - Anos Iniciais;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
32;QT_MAT_FUND_AI_1;Número de Matrículas do Ensino Fundamental - Anos Iniciais - 1º Ano;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
33;QT_MAT_FUND_AI_2;Número de Matrículas do Ensino Fundamental - Anos Iniciais - 2º Ano;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
34;QT_MAT_FUND_AI_3;Número de Matrículas do Ensino Fundamental - Anos Iniciais - 3º Ano;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
35;QT_MAT_FUND_AI_4;Número de Matrículas do Ensino Fundamental - Anos Iniciais - 4º Ano;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
36;QT_MAT_FUND_AI_5;Número de Matrículas do Ensino Fundamental - Anos Iniciais - 5º Ano;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
37;QT_MAT_FUND_AF;Número de Matrículas do Ensino Fundamental - Anos Finais;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
38;QT_MAT_FUND_AF_6;Número de Matrículas do Ensino Fundamental - Anos Finais - 6º Ano;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
39;QT_MAT_FUND_AF_7;Número de Matrículas do Ensino Fundamental - Anos Finais - 7º Ano;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
40;QT_MAT_FUND_AF_8;Número de Matrículas do Ensino Fundamental - Anos Finais - 8º Ano;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
